name,nutrients,category
Black-eyed Peas,"Protein, Fiber, Folate, Potassium",Legume
Bulgur Wheat,"Fiber, Magnesium, Iron, B Vitamins",Grain
Freekeh,"Protein, Fiber, Iron, Zinc",Grain
Barley,"Fiber, Selenium, B Vitamins, Iron",Grain
Millet,"Magnesium, Phosphorus, Fiber, B Vitamins",Grain
Okra,"Vitamin C, Vitamin K, Folate, Fiber",Vegetable
Eggplant,"Fiber, Potassium, Vitamin C, B6",Vegetable
Zucchini,"Vitamin C, Potassium, Folate, Vitamin A",Vegetable
Cucumber,"Vitamin K, Potassium, Vitamin C",Vegetable
Tomatoes,"Vitamin C, Lycopene, Potassium, Folate",Vegetable
Bell Peppers,"Vitamin C, Vitamin A, B6, Folate",Vegetable
Cauliflower,"Vitamin C, Vitamin K, Folate, Fiber",Vegetable
Turnips,"Vitamin C, Fiber, Potassium, Calcium",Vegetable
Radishes,"Vitamin C, Fiber, Potassium",Vegetable
Arugula,"Vitamin K, Vitamin A, Calcium, Folate",Vegetable
Parsley,"Vitamin K, Vitamin C, Vitamin A, Iron",Vegetable
Mint,"Vitamin A, Iron, Folate, Fiber",Vegetable
Cilantro,"Vitamin K, Vitamin A, Vitamin C",Vegetable
Figs,"Fiber, Potassium, Calcium, Iron",Fruit
Apricots,"Vitamin A, Vitamin C, Potassium, Fiber",Fruit
Grapes,"Vitamin C, Vitamin K, Antioxidants",Fruit
Watermelon,"Vitamin C, Vitamin A, Lycopene",Fruit
Melon,"Vitamin C, Vitamin A, Potassium",Fruit
Mulberries,"Vitamin C, Iron, Vitamin K, Fiber",Fruit
Persimmons,"Vitamin A, Vitamin C, Manganese, Fiber",Fruit
Pistachios,"Vitamin B6, Protein, Fiber, Potassium",Nuts
Pine Nuts,"Vitamin E, Magnesium, Zinc, Iron",Nuts
Sesame Seeds,"Calcium, Magnesium, Iron, Zinc",Seeds
Nigella Seeds,"Iron, Calcium, Fiber, Antioxidants",Seeds
Pumpkin Seeds,"Magnesium, Iron, Zinc, Omega-3",Seeds
Sunflower Seeds,"Vitamin E, Magnesium, Selenium",Seeds
Goat Meat,"Protein, Iron, B12, Potassium",Meat
Rabbit Meat,"Protein, B12, Selenium, Low Fat",Meat
Quail,"Protein, Iron, B Vitamins, Selenium",Meat
Fish (Hamour),"Protein, Omega-3, Vitamin D, Selenium",Fish
Fish (Safi),"Omega-3, Protein, Vitamin D, B12",Fish
Camel Milk,"Vitamin C, Iron, Protein, Calcium",Dairy
Goat Milk,"Calcium, Protein, Vitamin A, Potassium",Dairy
Labneh,"Protein, Probiotics, Calcium, B12",Dairy
Olive Oil,"Vitamin E, Vitamin K, Healthy Fats",Other
Tahini,"Calcium, Iron, Protein, Magnesium",Other
Date Syrup,"Iron, Potassium, Antioxidants",Other
Pomegranate Molasses,"Antioxidants, Vitamin C, Potassium",Other
Sumac,"Antioxidants, Vitamin C, Fiber",Other
Za'atar,"Iron, Calcium, Vitamin K, Antioxidants",Other
